user_id,matched_user_id,action,timestamp
U001,U065,0,2025-06-24
U001,U038,1,2025-05-02
U001,U031,1,2025-04-13
U001,U047,0,2025-02-02
U001,U030,0,2025-04-03
U001,U026,0,2025-02-23
U001,U034,1,2025-05-28
U001,U019,0,2025-04-13
U001,U014,0,2025-03-20
U002,U034,0,2025-02-15
U002,U063,0,2025-03-08
U002,U039,0,2025-07-01
U002,U045,0,2025-06-01
U002,U016,1,2025-04-21
U002,U061,1,2025-05-27
U003,U060,0,2025-05-10
U003,U049,1,2025-06-02
U003,U035,1,2025-06-15
U003,U050,1,2025-01-26
U003,U015,0,2025-05-08
U004,U040,1,2025-05-27
U004,U054,1,2025-05-06
U004,U016,1,2025-07-07
U004,U019,0,2025-04-27
U004,U007,0,2025-02-18
U004,U006,0,2025-06-26
U004,U075,1,2025-05-15
U004,U065,0,2025-03-22
U004,U073,1,2025-04-14
U004,U014,1,2025-05-03
U005,U048,1,2025-02-27
U005,U014,0,2025-05-06
U005,U049,1,2025-03-05
U005,U071,0,2025-06-11
U005,U047,0,2025-01-22
U005,U009,0,2025-03-13
U006,U074,0,2025-03-10
U006,U028,1,2025-02-16
U006,U010,0,2025-06-11
U006,U072,1,2025-02-16
U006,U075,0,2025-05-28
U006,U029,1,2025-02-23
U007,U004,0,2025-01-14
U007,U018,1,2025-01-23
U007,U002,1,2025-04-27
U007,U047,1,2025-01-26
U007,U032,1,2025-04-12
U008,U015,1,2025-05-12
U008,U059,0,2025-04-29
U008,U066,0,2025-05-15
U008,U030,0,2025-05-03
U008,U006,1,2025-01-30
U008,U068,1,2025-02-16
U008,U040,1,2025-03-21
U008,U060,1,2025-06-08
U008,U004,0,2025-04-03
U009,U069,0,2025-03-09
U009,U039,1,2025-05-06
U009,U060,1,2025-02-03
U009,U066,1,2025-03-31
U009,U057,0,2025-04-15
U009,U014,0,2025-07-04
U009,U016,0,2025-01-27
U009,U029,1,2025-01-31
U010,U057,1,2025-06-02
U010,U014,0,2025-06-30
U010,U049,1,2025-04-10
U010,U018,0,2025-04-28
U010,U073,0,2025-01-23
U011,U041,1,2025-02-06
U011,U047,1,2025-06-01
U011,U015,1,2025-03-22
U011,U066,0,2025-04-29
U011,U029,0,2025-06-18
U011,U021,0,2025-06-23
U011,U063,0,2025-06-14
U012,U036,0,2025-04-22
U012,U004,1,2025-06-21
U012,U025,0,2025-02-02
U012,U075,0,2025-03-06
U012,U041,1,2025-05-06
U012,U045,1,2025-04-14
U012,U046,1,2025-04-03
U012,U001,0,2025-06-04
U012,U073,1,2025-01-23
U012,U020,1,2025-06-17
U013,U011,0,2025-04-26
U013,U036,1,2025-05-21
U013,U058,1,2025-04-30
U013,U056,1,2025-07-02
U013,U064,0,2025-05-14
U014,U041,0,2025-03-16
U014,U006,1,2025-02-09
U014,U030,1,2025-04-30
U014,U052,1,2025-04-17
U014,U008,1,2025-03-09
U014,U001,0,2025-06-30
U014,U028,0,2025-01-28
U014,U040,1,2025-01-20
U014,U029,0,2025-05-07
U015,U042,1,2025-04-23
U015,U075,1,2025-04-03
U015,U056,1,2025-06-17
U015,U053,1,2025-07-05
